Sales,Month,AgeInMonths,ProfileInMonths,Subscribed,NumPrevOrders,AvgSpend,POSR,OPR,Online,Discount,ShippingOption,Shipping,Country,Platform,Payment,DayOfWeek,Ad_1,Ad_2,Ad_3,SocialMedia
653.29,October,395,18,Daily,11,162.11,5.4,0.63,61,0,Premium,Paid,South Africa,Computer,Credit Card,Tuesday,No,Yes,No,None
650.36,May,373,4,None,17,189.38,6.1,0.69,22,0,Express,Paid,England,iOS,Account Credit,Tuesday,No,No,Yes,None
588.88,April,453,15,None,13,164.2,7.6,0.55,63,24,Standard,Paid,South Africa,Computer,Credit Card,Friday,No,Yes,No,None
616.99,November,409,54,None,42,196.41,5.9,0.77,44,0,Premium,Free,Belgium,Computer,Credit Card,Wednesday,No,Yes,Yes,None
668.88,August,521,7,None,10,209.05,1.1,0.63,41,0,Express,Paid,United States,Computer,Credit Card,Sunday,No,No,Yes,None
533.62,July,437,32,None,26,141.42,4.7,0.83,41,0,Premium,Paid,Kenya,Computer,PayPal,Sunday,No,No,Yes,None
508.47,February,504,7,None,14,363.95,7.1,0.77,63,0,Express,Paid,England,Computer,PayPal,Monday,No,Yes,No,None
1010.28,February,554,0,None,0,0,1.8,0,49,0,Express,Paid,South Africa,Computer,EFT,Friday,No,Yes,No,None
493.89,April,383,38,None,26,299.73,7.4,0.93,35,44,Express,Paid,England,Computer,Credit Card,Saturday,No,No,Yes,None
1122.45,January,508,47,Daily,45,243.94,6.3,0.69,39,0,Express,Paid,Egypt,Computer,EFT,Saturday,Yes,Yes,Yes,Instagram
1205.45,February,539,22,None,21,195.09,6.2,0.63,34,0,Express,Paid,South Africa,Computer,Credit Card,Tuesday,No,Yes,Yes,None
470.86,December,505,13,None,22,251.41,0.6,1,26,0,Premium,Paid,South Africa,Computer,Account Credit,Wednesday,No,No,Yes,None
579.62,May,517,13,None,12,184.36,1.7,0.65,58,30,Standard,Free,South Africa,Android,Credit Card,Saturday,No,Yes,Yes,None
725.01,September,356,6,None,12,248.56,5.4,0.92,76,0,Premium,Paid,India,Computer,EFT,Saturday,Yes,Yes,No,Instagram
564.34,February,383,40,Weekly,30,341.19,2.4,0.85,43,0,Express,Paid,Kenya,Computer,EFT,Friday,No,No,Yes,None
514.63,October,445,8,None,7,297.05,4.4,0.68,49,0,Premium,Paid,England,Computer,Credit Card,Tuesday,Yes,Yes,Yes,Facebook
544.64,January,522,53,None,52,471.77,0.8,0.88,74,25,Standard,Free,China,Computer,EFT,Saturday,No,No,Yes,None
785.94,May,359,18,Monthly,11,296.85,3.5,0.65,25,0,Premium,Paid,South Africa,Computer,Credit Card,Sunday,No,No,Yes,None
798.07,October,446,49,Daily,51,451.09,6.3,0.88,32,0,Express,Paid,South Africa,Computer,Credit Card,Wednesday,Yes,Yes,No,Instagram
575.93,January,487,48,Daily,44,269.99,7.6,0.94,58,0,Express,Free,Brazil,Computer,Credit Card,Thursday,No,Yes,No,None
589.36,February,401,3,None,10,192.1,5.1,0.54,49,0,Premium,Paid,South Africa,Computer,Credit Card,Friday,No,Yes,No,None
777.9,August,446,61,Daily,46,301,7.9,0.87,59,0,Premium,Paid,South Africa,Computer,Credit Card,Monday,Yes,Yes,Yes,Facebook
760.01,December,523,51,Daily,56,302.15,5.8,0.64,58,0,Premium,Paid,China,Computer,Credit Card,Saturday,Yes,Yes,No,Twitter
461.29,July,390,28,None,39,214.96,2.8,0.91,93,0,Premium,Paid,South Africa,Computer,Credit Card,Friday,Yes,No,Yes,Facebook
616.49,June,386,1,Weekly,12,266.26,3.3,0.98,41,0,Premium,Paid,Kenya,iOS,Credit Card,Tuesday,No,Yes,Yes,None
579.32,June,478,36,None,30,179.64,3.2,0.85,28,0,Express,Paid,South Africa,Computer,Credit Card,Thursday,No,No,Yes,None
539.23,January,426,45,None,49,252.23,3.4,0.52,63,0,Express,Paid,England,Computer,Credit Card,Wednesday,Yes,No,Yes,Twitter
521.53,February,384,28,None,20,206.79,0.6,0.64,42,32,Standard,Free,South Africa,Computer,Credit Card,Friday,Yes,Yes,Yes,Facebook
651.3,February,546,1,None,13,364.14,1.7,0.65,63,5,Standard,Paid,Italy,Computer,Credit Card,Wednesday,No,Yes,No,None
481.01,February,472,37,None,26,195.1,5.1,0.97,87,0,Express,Paid,India,iOS,PayPal,Tuesday,Yes,Yes,Yes,Facebook
514.42,November,469,20,Monthly,11,219.44,3.6,0.63,65,0,Standard,Paid,Brazil,Computer,Credit Card,Monday,Yes,No,Yes,Instagram
667.11,January,387,23,None,33,174.06,6.1,0.58,77,0,Premium,Paid,South Africa,Computer,Credit Card,Saturday,No,Yes,No,None
646.67,December,448,33,None,32,178.33,5.7,0.75,41,0,Premium,Paid,South Africa,Computer,Credit Card,Friday,No,Yes,Yes,None
506.06,October,421,12,None,18,308.44,2.1,0.9,54,0,Premium,Paid,Netherlands,iOS,Credit Card,Wednesday,No,No,Yes,None
908.73,April,326,5,None,5,345.26,1.7,0.82,33,0,Express,Paid,South Africa,Android,Credit Card,Saturday,No,No,Yes,None
699.33,March,488,0,None,0,0,4.9,0,51,0,Premium,Paid,South Africa,Computer,Credit Card,Saturday,No,Yes,Yes,None
672.14,March,513,16,None,15,346.84,6.7,0.78,46,0,Standard,Free,South Africa,Android,Credit Card,Tuesday,No,Yes,No,None
619.92,September,453,0,None,0,0,4.3,0,41,0,Standard,Paid,South Africa,Android,PayPal,Friday,No,Yes,Yes,None
471.89,June,447,49,None,45,298.67,5.8,0.69,61,0,Standard,Paid,Belgium,Computer,Credit Card,Friday,No,Yes,No,None
599.55,April,375,51,Monthly,48,370.09,3.6,0.69,53,0,Standard,Paid,South Africa,Computer,Credit Card,Wednesday,Yes,No,Yes,Facebook
618.5,October,531,17,None,11,153.81,1.1,0.94,20,0,Standard,Paid,United States,Android,Credit Card,Monday,No,No,Yes,None
529.58,June,519,18,None,7,226.86,0.7,0.53,39,0,Express,Paid,Ireland,Computer,EFT,Monday,No,Yes,Yes,None
699.16,November,471,0,None,0,0,7.7,0,16,0,Premium,Paid,Netherlands,Computer,Credit Card,Thursday,No,No,Yes,None
1280.38,May,334,34,None,25,212.35,4.9,0.52,55,0,Premium,Paid,South Africa,Computer,Credit Card,Sunday,No,Yes,Yes,None
451.57,February,478,1,None,9,251.01,2.8,0.75,44,0,Premium,Paid,Brazil,iOS,Credit Card,Friday,No,Yes,No,None
1399.45,July,556,51,None,44,171.79,6.7,0.59,48,0,Premium,Paid,Japan,Computer,Credit Card,Monday,No,Yes,Yes,None
587.37,November,425,30,None,27,244.18,2.3,0.68,43,0,Express,Paid,England,Computer,Credit Card,Friday,Yes,No,Yes,Instagram
596.77,October,395,19,None,12,193.64,2.8,0.57,64,0,Standard,Free,South Africa,Computer,Credit Card,Wednesday,Yes,Yes,No,Twitter
652.07,July,391,69,Weekly,51,325.71,1.7,0.52,38,0,Express,Paid,England,iOS,Account Credit,Saturday,No,No,Yes,None
